1,2,3,4,5,6,7,8,label
29593.419921875,-12927.98046875,-21902.720703125,-35274.65234375,-16434.43359375,-38779.65234375,-49115.54296875, -48029.80859375,0
27997.75,-13544.7998046875,-24886.96875,-35525.21484375,-17479.19921875,-39213.609375,-51354.453125, -49857.9140625,0
27092.728515625,-13373.09375,-27041.23046875,-35261.57421875,-17295.087890625,-38979.765625,-52805.4609375, -50097.30078125,0
28051.103515625,-12657.099609375,-25508.1015625,-34820.73046875,-16163.5966796875,-38389.74609375,-51551.640625, -48453.95703125,0
29561.388671875,-12377.390625,-22344.212890625,-34826.36328125,-15610.16796875,-38261.76171875,-49280.546875, -47154.26953125,0
29579.62890625,-12910.0546875,-21934.2578125,-35249.41796875,-16396.099609375,-38762.3046875,-49147.171875, -48005.78125,0
28039.615234375,-13510.66796875,-24849.08203125,-35505.90234375,-17440.8203125,-39199.3046875,-51324.30078125, -49813.74609375,0
27100.39453125,-13359.4140625,-27042.19140625,-35252.4765625,-17295.310546875,-38979.65234375,-52806.30859375, -50094.28125,0
27982.57421875,-12699.5234375,-25568.31640625,-34858.1484375,-16210.8037109375,-38424.125,-51589.94921875, -48492.625,0
29545.228515625,-12376.49609375,-22377.13671875,-34827.078125,-15616.7392578125,-38270.1875,-49282.71484375, -47156.68359375,0
29606.2265625,-12891.7705078125,-21886.203125,-35243.71484375,-16381.056640625,-38762.21484375,-49102.3359375, -47978.7109375,0
28023.365234375,-13537.8701171875,-24829.078125,-35533.28515625,-17461.16015625,-39224.44921875,-51310.484375, -49822.6875,0
27087.51953125,-13372.244140625,-27051.244140625,-35248.6328125,-17324.322265625,-38984.19140625,-52804.3203125, -50104.69921875,0
27999.025390625,-12655.53515625,-25594.490234375,-34800.2578125,-16188.1171875,-38393.50390625,-51605.171875, -48494.58984375,0
29501.93359375,-12368.3154296875,-22430.578125,-34801.1953125,-15608.0224609375,-38255.3671875,-49329.1171875, -47162.0703125,0
29586.333984375,-12879.6337890625,-21876.189453125,-35208.109375,-16353.6982421875,-38735.21484375,-49097.796875, -47932.2421875,0
27995.203125,-13540.060546875,-24771.791015625,-35518.1953125,-17443.501953125,-39209.296875,-51261.19921875, -49769.7578125,0
27033.67578125,-13390.6396484375,-27054.8203125,-35261.375,-17347.234375,-39001.3359375,-52792.5390625, -50116.30078125,0
27873.921875,-12702.1611328125,-25692.458984375,-34824.93359375,-16235.279296875,-38424.2578125,-51657.54296875, -48549.80078125,0
29427.234375,-12363.3310546875,-22522.779296875,-34788.90234375,-15617.767578125,-38255.8359375,-49366.30859375, -47178.20703125,0
29540.69140625,-12858.82421875,-21919.953125,-35207.37109375,-16354.6376953125,-38732.8671875,-49096.12109375, -47917.109375,0
27965.1171875,-13516.3681640625,-24808.021484375,-35489.5625,-17431.9921875,-39192.95703125,-51263.50390625, -49760.390625,0
26930.96875,-13418.51171875,-27133.453125,-35269.421875,-17356.21875,-39008.98046875,-52834.25, -50140.1484375,0
27753.580078125,-12746.373046875,-25823.08203125,-34864.23046875,-16282.552734375,-38451.75,-51728.328125, -48585.2265625,0
29282.818359375,-12422.5859375,-22660.0859375,-34834.74609375,-15647.8076171875,-38283.80078125,-49441.58984375, -47208.11328125,0
29475.40234375,-12873.017578125,-21965.529296875,-35218.79296875,-16333.4482421875,-38730.96875,-49096.58984375, -47894.06640625,0
27967.708984375,-13497.2578125,-24786.630859375,-35493.921875,-17410.0859375,-39192.46484375,-51220.4765625, -49728.3828125,0
26891.0703125,-13416.0986328125,-27164.634765625,-35282.67578125,-17355.392578125,-39018.7265625,-52836.4609375, -50149.53515625,0
27652.236328125,-12787.9248046875,-25908.734375,-34904.1953125,-16293.9296875,-38486.70703125,-51767.53515625, -48634.53515625,0
29239.970703125,-12410.6044921875,-22723.87890625,-34820.59765625,-15619.376953125,-38278.6796875,-49452.296875, -47211.62109375,0
29456.515625,-12851.380859375,-21940.00390625,-35202.6796875,-16306.0673828125,-38720.95703125,-49056.73828125, -47864.49609375,0
27973.677734375,-13488.115234375,-24698.4765625,-35501.9921875,-17396.005859375,-39190.921875,-51135.3828125, -49697.5625,0
26874.53125,-13443.5458984375,-27130.63671875,-35310.37109375,-17399.626953125,-39048.07421875,-52795.84765625, -50182.55078125,0
27663.837890625,-12762.220703125,-25926.03515625,-34869.390625,-16302.37890625,-38471.3515625,-51773.8828125, -48658.98828125,0
29254.365234375,-12390.17578125,-22714.826171875,-34807.56640625,-15623.556640625,-38265.0,-49452.49609375, -47208.73828125,0
29502.71484375,-12836.4501953125,-21883.005859375,-35193.1796875,-16279.4013671875,-38709.0625,-49034.7421875, -47843.8203125,0
28004.34375,-13517.552734375,-24604.822265625,-35527.13671875,-17397.994140625,-39210.14453125,-51091.171875, -49681.1328125,0
26937.115234375,-13438.0029296875,-27038.615234375,-35298.5234375,-17379.46484375,-39043.78125,-52760.421875, -50174.01171875,0
27698.4609375,-12772.8154296875,-25908.935546875,-34885.08203125,-16319.4775390625,-38485.546875,-51793.7734375, -48696.89453125,0
29272.6484375,-12406.58203125,-22703.962890625,-34823.19140625,-15626.08203125,-38276.84765625,-49471.921875, -47228.87890625,0
29594.669921875,-12810.3662109375,-21756.271484375,-35179.0546875,-16255.328125,-38690.2421875,-48959.6875, -47789.3046875,0
28167.376953125,-13444.2841796875,-24437.921875,-35472.26171875,-17362.701171875,-39165.64453125,-50998.2109375, -49619.8671875,0
